"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Exploring the campaign space of non-party activism in the 2017 and 2019 UK general elections.","https://eprints.whiterose.ac.uk/203046/","Temple, L.; Langer, A.I.","August 2023","In recent years there has been an increase in election-focused activity undertaken by non-party organisations. This activism concerns issues such as political education, cross-party collaboration, voter registration, and voter advice. Using the 2017 and 2019 UK general elections as case studies, we take a strategic action field approach to analyse how this campaign space is developing. We demonstrate the existence of competing logics of activism associated with the fields of social movements, electioneering, and ‘civic tech’. This leads to conflicts related to ethos, time, organisational hybridity, activism, funding and regulation, with such issues frequently shaped by the affordances offered by digital technology. Our findings contribute towards better understandings of how these actors operate in, and attempt to influence, the contemporary electoral landscape.","Tech","University of Sheffield"
"Professionals’ decision-making in recommending communication aids in the UK : competing considerations.","https://eprints.whiterose.ac.uk/149037/","Murray, J.; Lynch, Y.; Meredith, S.","March 2019","Existing research suggests the provision of communication aids for children with complex communication needs can have significant positive impacts on health and quality-of-life. The process of clinical decision-making related to the recommendation of high-tech communication aids is not well documented or evaluated, and research evidence related to the provision of these aids remains limited. This study aimed to understand the factors that specialized AAC professionals in the UK consider when recommending high-tech communication aids. Purposive sampling was used to recruit teams to six focus groups, each of which centred on a team’s recent recommendation process (i.e. a discussion following a real-time assessment session, where the team attempted to arrive at an agreed recommendation for a specific child). Thematic network analysis was used to interpret data from the focus group discussions. Participants identified a wide range of child characteristics, access features, and communication aid attributes in weighing up decisions for individual children. Findings suggest that specialized AAC professionals in the UK prioritize access features over language considerations in their communication aid recommendations. An explanatory model was developed to illustrate the interaction effect that several competing considerations may have on decision-making. Implications for clinical practice and future research are discussed.","Tech","University of Sheffield"
"Decision-making in communication aid recommendations in the UK : cultural and contextual influencers.","https://eprints.whiterose.ac.uk/149036/","Lynch, Y.; Murray, J.; Moulam, L.","March 2019","High-tech communication aids are one form of augmentative and alternative communication (AAC) intervention offered to children following an assessment process to identify the most appropriate system based on their needs. Professional recommendations are likely to include consideration of child characteristics and communication aid attributes. Recommendations may be influenced by contextual factors related to the cultural work practices and service context of professionals involved, as well as by contextual factors from the child’s life including their family environment and wider settings. The aim of this study was to explore the influence of cultural and contextual factors on the real-time decision-making processes of specialized AAC professionals in the UK. A total of six teams were recruited to the study. Each team carried out an assessment appointment related to a communication aid recommendation for a child and family. Following the appointment, each team participated in a focus group examining their decision-making processes during the preceding assessment. Inductive coding was used to analyse the transcribed data, and three organizing themes emerged relating to the global theme of Cultural and Contextual Influencers on communication aid decision-making. An explanatory model was developed to illustrate the funnelling effect that contextual factors may have on decision-making, which can substantially alter the nature and timing of a communication aid recommendation. Implications for clinical practice and future research are discussed.","Tech","University of Sheffield"
"Responsive architecture and the problem of obsolescence.","https://eprints.whiterose.ac.uk/82925/","Meagher, M.","September 2014","Responsive architecture, a design field that has arisen in recent decades at the intersection of architecture and computer science, invokes a material response to digital information and implies the capacity of the building to respond dynamically to changing stimuli. The question I will address in the paper is whether it is possible for the responsive components of architecture to become a poetically expressive part of the building, and if so why this result has so rarely been achieved in contemporary and recent built work. The history of attitudes to- ward obsolescence in buildings is investigated as one explanation for the rarity of examples like the one considered here that successfully overcomes the rapid obsolescence of responsive components and makes these elements an integral part of the work of architecture. In conclusion I identify strategies for the design of responsive components as poetically expressive elements of architecture.","Tech","University of Sheffield"
"Genome-wide phylogeography reveals cryptic speciation in the circumglobal planktonic calcifier Limacina bulimoides.","https://eprints.whiterose.ac.uk/199844/","Choo, L.Q.; Spagliardi, G.; Malinsky, M.","March 2023","Little is known about when and how planktonic species arise and persist in the open ocean without apparent dispersal barriers. Pteropods are planktonic snails with thin shells susceptible to dissolution that are used as bio-indicators of ocean acidification. However, distinct evolutionary units respond to acidification differently, and defining species boundaries is therefore crucial for predicting the impact of changing ocean conditions. In this global population genomic study of the shelled pteropod Limacina bulimoides, we combined genetic (759,000 single nucleotide polymorphisms) and morphometric data from 161 individuals, revealing three major genetic lineages (FST = 0.29–0.41): an “Atlantic lineage” sampled across the Atlantic, an “Indo-Pacific lineage” sampled in the North Pacific and Indian Ocean, and a “Pacific lineage” sampled in the North and South Pacific. A time-calibrated phylogeny suggests that the lineages diverged about 1 million years ago, with estimated effective population size remaining high (~10 million) throughout Pleistocene glacial cycles. We do not observe any signatures of recent hybridization, even in areas of sympatry in the North Pacific. While the lineages are reproductively isolated, they are morphologically cryptic, with overlapping shell shape and shell colour distributions. Despite showing that the circumglobal L. bulimoides consists of multiple species with smaller ranges than initially thought, we found that these pteropods still possess high levels of genetic variability. Our study adds to the growing evidence that speciation is often overlooked in the open ocean, and suggests the presence of distinct biological species within many other currently defined circumglobal planktonic species.","Marine","University of Sheffield"
"The characterisation of Wickerhamomyces anomalus M15, a highly tolerant yeast for bioethanol production using seaweed derived medium.","https://eprints.whiterose.ac.uk/192808/","Turner, W.; Greetham, D.; Du, C.","September 2022","Advanced generation biofuels have potential for replacing fossil fuels as society moves forward into a net-zero carbon future. Marine biomass is a promising source of fermentable sugars for fermentative bioethanol production; however the medium derived from seaweed hydrolysis contains various inhibitors, such as salts that affected ethanol fermentation efficiency. In this study the stress tolerance of a marine yeast, Wickerhamomyces anomalus M15 was characterised. Specific growth rate analysis results showed that Wickerhamomyces anomalus M15 could tolerate up to 600 g/L glucose, 150 g/L xylose and 250 g/L ethanol, respectively. Using simulated concentrated seaweed hydrolysates, W. anomalus M15’s bioethanol production potential using macroalgae derived feedstocks was assessed, in which 5.8, 45.0, and 19.9 g/L ethanol was produced from brown (Laminaria digitata), green (Ulva linza) and red seaweed (Porphyra umbilicalis) based media. The fermentation of actual Ulva spp. hydrolysate harvested from United Kingdom shores resulted in a relatively low ethanol concentration (15.5 g/L) due to challenges that arose from concentrating the seaweed hydrolysate. However, fed-batch fermentation using simulated concentrated green seaweed hydrolysate achieved a concentration of 73 g/L ethanol in fermentations using both seawater and reverse osmosis water. Further fermentations conducted with an adaptive strain W. anomalus M15-500A showed improved bioethanol production of 92.7 g/L ethanol from 200 g/L glucose and reduced lag time from 93 h to 24 h in fermentation with an initial glucose concentration of 500 g/L. The results indicated that strains W. anomalus M15 and W. anomalus M15-500A have great potential for industrial bioethanol production using marine biomass derived feedstocks. It also suggested that if a concentrated high sugar content seaweed hydrolysate could be obtained, the bioethanol concentration could achieve 90 g/L or above, exceeding the minimum industrial production threshold.","Marine","University of Sheffield"
"Analysis of ocean ontologies in three frameworks: a study of law of the sea discourse.","https://eprints.whiterose.ac.uk/190698/","Burns, V.","August 2022","Legal frameworks have historically used a colonial territorialist approach to governing ocean space. The United Nations Convention on the Law of the Sea (1982) represents a theoretical departure from colonial territorialism. Instead, UNCLOS employs a functionalist logic approach that is based on principles of sovereignty and consent and uses administrative reasoning as a basis for decision-making. This paper investigates what ontological principles are employed in the development of UNCLOS and asks how these are reproduced in other frameworks. I consider whether ontologies can be extrapolated and studied as latent but agential positions in ocean law and governance frameworks and examine how they might be obstructive to the development of effective regional ocean governance. Lastly, I ask whether ontological principles can be reformed, and through what type of interventions this might be achieved. Results show that tenets of colonial territorialism persist in UNCLOS as terrestrialising practices that are reappropriated towards marine communities. Further, that there are fundamental ways in which ontological principles are obstructive to conservation goals in ocean governance frameworks. Lastly, while the structural reproduction of ontological principles between frameworks resists intervention, evidence suggests that interventionist legal mechanisms that displace anthropocentrisms may offer distinct opportunities for reform.","Marine","University of Sheffield"
"Things that cling: marine attachments in Eliot.","https://eprints.whiterose.ac.uk/182124/","Murray, R.","August 2021","T.S. Eliot was captivated by marine life forms, particularly creatures that cling. From the “ragged claws” of ancient crustaceans to the firm foothold of the “delicate algae and the sea anemone,” Eliot’s writing is full of creatures whose instinct is to “ hold on tight” while the sea tosses them about. Eliot’s marine imagery is bound up with his thinking about the enabling possibilities of attachment—an idea that runs counter to his longstanding critical reputation as a poet of detachment. From his early reading of biological texts to his late critical writing, Eliot’s work demonstrates a recurrent interest in attachment that serves to complicate and enrich our understanding of his aesthetics.","Marine","University of Sheffield"
"Ten years of demographic modelling of divergence and speciation in the sea.","https://eprints.whiterose.ac.uk/188672/","De Jode, A.; Le Moan, A.; Johannesson, K.","May 2022","Understanding population divergence that eventually leads to speciation is essential for evolutionary biology. High species diversity in the sea was regarded as a paradox when strict allopatry was considered necessary for most speciation events because geographical barriers seemed largely absent in the sea, and many marine species have high dispersal capacities. Combining genome-wide data with demographic modelling to infer the demographic history of divergence has introduced new ways to address this classical issue. These models assume an ancestral population that splits into two subpopulations diverging according to different scenarios that allow tests for periods of gene flow. Models can also test for heterogeneities in population sizes and migration rates along the genome to account, respectively, for background selection and selection against introgressed ancestry. To investigate how barriers to gene flow arise in the sea, we compiled studies modelling the demographic history of divergence in marine organisms and extracted preferred demographic scenarios together with estimates of demographic parameters. These studies show that geographical barriers to gene flow do exist in the sea but that divergence can also occur without strict isolation. Heterogeneity of gene flow was detected in most population pairs suggesting the predominance of semipermeable barriers during divergence. We found a weak positive relationship between the fraction of the genome experiencing reduced gene flow and levels of genome-wide differentiation. Furthermore, we found that the upper bound of the ‘grey zone of speciation’ for our dataset extended beyond that found before, implying that gene flow between diverging taxa is possible at higher levels of divergence than previously thought. Finally, we list recommendations for further strengthening the use of demographic modelling in speciation research. These include a more balanced representation of taxa, more consistent and comprehensive modelling, clear reporting of results and simulation studies to rule out nonbiological explanations for general results.","Marine","University of Sheffield"
"Progress towards an HF radar wind speed measurement method using machine learning.","https://eprints.whiterose.ac.uk/185959/","Wyatt, L.","April 2022","HF radars are now an important part of operational coastal observing systems where they are used primarily for measuring surface currents. Their use for wave and wind direction measurement has also been demonstrated. These measurements are based on physical models of radar backscatter from the ocean surface described in terms of its ocean wave directional spectrum and the influence thereon of the surface current. Although this spectrum contains information about the local wind that is generating the wind sea part of the spectrum, it also includes spectral components propagating into the local area having been generated by winds away from the area i.e., swell. In addition, the relationship between the local wind sea and wind speed depends on fetch and duration. Thus, finding a physical model to extract wind speed from the radar signal is not straightforward. In this paper, methods that have been proposed to date will be briefly reviewed and an alternative approach is developed using machine learning methods. These have been applied to three different data sets using different radar systems in different locations. The results presented here are encouraging and proposals for further development are outlined.","Marine","University of Sheffield"
